sentiment,review_body,product_category
-1,An absolutely gorgeous  but poorly fitting blouse. the bottom part is way too billowy and inconsistent with the fitted top half. got it on sale and still returned it.,Blouses
-1,I just can't get past how different the blouse i got is from the photo. mine has dark colors  really dark colors.  this top fits a bit large and the neck is quite wide. i thought it flowed well and fit nicely in my regular size large. i liked the length and the fact that it's shorter than shown. it still covered my bum.  the back has a cute peplum ruffle and there are little bronze colored beads along the bottom edge in both the front and back. i would have kept it had been the blouse shown in t,Blouses
-1,"I'll start by saying the fabric and concept are beautiful. the top is sheer  but that's pretty clear in the images and not surprising for a lightweight white blouse. the problem is that the arms are more fitted and the torso (not the chest  but the mid-section) is cut fairly wide. i'm 5'10""  140#  34b and usually wear a 4 or a small/medium depending on how relaxed i want the fit. i purchased this in a 4. the arms were workable but slightly fitted  and the torso fit like an 8. chest was as expect",Blouses
-1,The beadwork is gorgeous  but the sleeves are so puffy  it looks as though you're wearing shoulder pads. the fabric of the shirt isn't that fabulous either.,Blouses
-1,Loved the fit and colors  but the fabric is very thin and see-thru. i tried a nude cami underneath and the cami was completely visible. it did not look appropriate for anything that i wanted to wear the top to.,Blouses
-1,This blouse is a disappointment! it runs so large  it looks ridiculous. the cute is super wide and flared. they must have it pinned on the model. it is not flattering at all. i really thought this could be cute. not worth the money either! it's expensive and ill-fitting. for reference i am 5'3 and 123lbs and wear a 2 or 4.,Blouses
-1,I got the blue. it is very short. one side of the shirt i received was shorter that the other. the material feels cheap and pleats out a bit right over the bust - only flattering on small busted models.,Blouses
-1,I wish this shirt would not have had so much material. it would make a great maternity top! if you are really thin  it might work for you too.,Blouses
-1,Beautifully made shirt however the sizing is way off. the sleeves and across the chest are really tight while the rest of the shirt fits fine. if you get a size larger then the shirt in the body is to large. would recommend if you have really tiny shoulders  arms and chest. such a shame since i really love the shirt.,Blouses
0,The positive: light-weight fabric  interesting drape  the negative: i'm tall and would have preferred if it was longer. the big drawback is the ridiculous buttons--three fell off the first time i wore it...and it fits loosely! they're held on by a single loop...ugh.,Blouses
0,This top is not for a curvy figure. the embroidered part is gorgeous  very stunning  but the loose bottom part is awful. i am curvy and usually wear l or xl. this top was fitted at the top but very loose at the bottom  made me feel like i had a big tummy  and was a tad short. i am sending this back. this would look better on a more slender frame.,Blouses
0,"The fabric is wonderful  flows nicely and soft. i am 5'7""  145lbs and usually wear between a s and m. i ordered a s in this due to the majority of reviews and found it to fit my shoulders well and length was fine. after reading the reviews i was so excited to get it but for me it actually made me look larger. there was too much material for me on the bottom and it actually made me look like i had a ""pooch""  never a good thing. i thought of returning for a m as i thought maybe it would have hung",Blouses
0,Frumpy is the word i would use to describe this top. i look good in empire waist shirts and seek them out. but this one made me look pregnant and frumpy. and it has an attached camisole  but the sheerness of the top still showed my nude-colored bra strap. so i don't even know what to wear under it. it's going back  even with the sale price.,Blouses
0,This shirt is really cute but a little stiff. it does come with a slip  but the slip was tight  but the shirt fit  maybe even a little big. i used another cami under which was better. i think think the sizing is off in terms of slip vs. the actual shirt. i got it in the store with the 30% off  so it was a good deal. it does stretch out as you wear it  so it will get bigger and it did make me look a little bigger  but still cute on and for a summer shirt  it's thin  so it does work well in that r,Blouses
0,"I really liked the look of this top online  but when it came i had a couple of issues with it. first  when i tried it on i found the underarms to be a little snug (i normally wear a 10/m  and that's what i ordered). it makes raising my arms tough  and as a teacher  i need to be able to lift my arms above my waist. secondly  my husband's first reaction was that it ""looks like pajamas."" the abstract floral/stripe gets a little lost.  on the other hand  the color palette is very pretty and the qual",Blouses
0,I wanted to love this top but couldn't. i am curvy (36/27/39; 32dd) and this accentuated my hips (which is not needed) and made my chest/whole shape seem boxy. i could only recommend this top to someone who is smaller chested with a straight build- the bottom would help give some shape; pleating on front would help chest seem larger. i did love the color and construction  lace details  3/4 sleeves.,Blouses
0,Cropped and wide- would look cuter on someone who is more petite. was too wide and cropped for me. very sheer.,Blouses
0,First off  this shirt is a hd in paris brand  not floreat. i love floreat clothing so that is why i initially bought this blouse. i like the idea and the coloring of the shirt. the biggest drawback for me was that it is completely see through. i just bring myself to get a strapless cami just to wear this one top. please change brand name.,Blouses
1,"Love this top! the quality is great and the pattern is even cuter in person. i'm 5'4""  125 lbs and bought my normal size s which fits perfectly. it's pretty flouncy and roomy  which is nice because it hides my post-baby tummy. especially love how the back covers my bottom which means i can wear my skinny black leggings underneath. definitely recommend!",Blouses
1,This top is the perfect combo of function and flair! the style of the top makes it easy to wear and the back detail is just lovely. i love that it can be worn as either a buttoned-up top or a light over-shirt with a t-shirt or camisole underneath. i would pair this with blue or gray skinny jeans.,Blouses
1,This is a great piece  which has flow  grace  and charm. the blue is a beautiful color! i love it and received numerous complements after wearing it one time.,Blouses
1,Wish i had snagged both styles of this shirt before they sold out. this is a very cute  work appropriate top - good weight and quality to the shirt. i wear a lot of black and white at work (so sick of gray..why are all business clothes gray?) and this top will be added into my regular rotation.,Blouses
1,I found the material a little stiff  im asummig linen is stiff at first. i got an xxs and fit tts in my case (34 b  5'7  120 lb).,Blouses
1,This has been my go to top every time i go out lately. i just make sure i am with different people. the length is perfect and not too long. i wear a strapless black bra and you cannot see through the shirt. the only thing i don't like about it  is the three buttons in the back at the top are very  very difficult to button.,Blouses
